Code,Longitude,Latitude
H3E,45.46202093,-73.54637296
H3G,45.49870588,-73.58635268
H3H,45.49536379,-73.58164549
H3J,45.48892937,-73.57145812
H3K,45.47984099,-73.5636391
H3L,45.54794208,-73.66973463
H3M,45.53886191,-73.69132049
H3N,45.53038294,-73.63131928
H3P,45.52155752,-73.63653052
H3R,45.51081496,-73.64812814
H3S,45.50648052,-73.62911016
H3T,45.50166831,-73.61962045
H3V,45.49507039,-73.61431697
H3W,45.49001714,-73.63299648
H3X,45.48167848,-73.6407625
H3Y,45.4873386,-73.6043135
H3Z,45.48302737,-73.59924999
H4A,45.47659544,-73.61478781
H4B,45.4660271,-73.6314383
H4C,45.4789243,-73.58679483
H4E,45.45710617,-73.59536675
H4G,45.46307808,-73.57041589
H4H,45.44632218,-73.58066598
H4J,45.5320914,-73.70912503
H4K,45.52504759,-73.72733598
H4L,45.51759795,-73.68406853
H4M,45.50192323,-73.68606024
H4N,45.52722366,-73.66650648
H4P,45.50073918,-73.6569817
H4R,45.50661965,-73.7078135
H4S,45.49291063,-73.743562
H4T,45.48496117,-73.69505377
H4V,45.46792234,-73.64829807
H4W,45.46754457,-73.66555218
H4X,45.45489152,-73.65163951
H4Y,45.47530991,-73.72033153
H4Z,45.51279542,-73.54618258
H5A,45.50483333,-73.562251
H5B,45.51845527,-73.58583064
H7A,45.6654715,-73.58696763
H7B,45.68123129,-73.63218408
H7C,45.61578816,-73.65010091
H7E,45.59621914,-73.6685994
H7G,45.57493457,-73.68303112
H7H,45.64119073,-73.75500964
H7J,45.67250079,-73.69714196
H7K,45.62135132,-73.73981274
H7L,45.60377025,-73.7776286
H7M,45.60063607,-73.71859091
H7N,45.56012603,-73.70406172
H7P,45.57885204,-73.80398569
H7R,45.55376395,-73.86138801
H7S,45.57405393,-73.72876138
H7T,45.55749103,-73.76723974
H7V,45.54741214,-73.73434798
H7W,45.53608785,-73.7585605
H7X,45.52717765,-73.80562943
H7Y,45.52444755,-73.84954764
H8N,45.43724199,-73.62061527
H8P,45.42577828,-73.6060258
H8R,45.43143503,-73.6459826
H8S,45.43907379,-73.67668164
H8T,45.4449906,-73.70635306
H8Y,45.50573711,-73.80132766
H8Z,45.5059416,-73.84240961
H9A,45.49613707,-73.82946392
H9B,45.49142293,-73.80085971
H9C,45.49990472,-73.87487077
H9E,45.48999695,-73.89273332
H9G,45.47566817,-73.83743593
H9H,45.47142548,-73.85853656
H9J,45.45408018,-73.87826685
H9K,45.45900391,-73.89990336
H9P,45.45722873,-73.76207349
H9R,45.45690676,-73.81045017
H9S,45.44202216,-73.77053947
H9W,45.430959,-73.86620817
H9X,45.4147657,-73.92933819
J0A,45.86046709,-71.94241717
J0B,45.35376986,-71.82974797
J0C,45.92319624,-72.54784239
J0E,45.30727438,-72.50592363
J0G,46.00413853,-72.84659115
J0H,45.66759221,-72.78716727
J0J,45.1704678,-73.15574086
J0K,46.18940595,-73.47240768
J0L,45.47091501,-73.37876078
J0M,57.98524894,-74.53653242
J0N,45.56382013,-73.94284883
J0P,45.34992502,-74.26736066
J0R,45.8852738,-74.15048557
J0S,45.1143868,-74.05024057
J0T,46.1186652,-74.52529537
J0V,45.74309309,-74.81123229
J0W,46.63923777,-75.55580619
J0X,45.83952301,-76.11910341
J0Y,48.88592902,-77.62151095
J0Z,48.10224196,-79.15303345
J1A,45.13508232,-71.80947423
J1C,45.44386045,-71.93938686
J1E,45.41712134,-71.87612313
J1G,45.40424981,-71.86230252
J1H,45.39220996,-71.89820765
J1J,45.40748983,-71.92091762
J1K,45.38633539,-71.93338855
J1L,45.4013084,-71.95454481
J1M,45.37239427,-71.86794229
J1N,45.37240402,-71.97980846
J1R,45.39250978,-72.00212962
J1S,45.57218833,-72.00470497
J1T,45.77405986,-71.93120402
J1X,45.28895078,-72.14967446
J1Z,45.93067459,-72.4524727
J2A,45.83357671,-72.41834654
J2B,45.86640893,-72.47728263
J2C,45.88756633,-72.50462833
J2E,45.90523837,-72.53271106
